date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,turn,tradestatus,isST
2018-06-11,sz.300750,36.2,18.27618,3.128442,3.533828,21.728055,0.036286,1,0
2018-06-12,sz.300750,39.82,20.103798,3.441286,3.887211,23.90086,0.012235,1,0
2018-06-13,sz.300750,43.8,22.113168,3.785242,4.275737,26.289746,0.020728,1,0
2018-06-14,sz.300750,48.18,24.324485,4.163766,4.70331,28.91872,0.034186,1,0
2018-06-15,sz.300750,53.0,26.757943,4.580316,5.173837,31.811793,0.118075,1,0
2018-06-19,sz.300750,58.3,29.433738,5.038347,5.69122,34.992972,0.514366,1,0
2018-06-20,sz.300750,64.13,32.377111,5.542182,6.260342,38.492269,0.603185,1,0
2018-06-21,sz.300750,70.54,35.613308,6.096141,6.886084,42.339696,0.566948,1,0
2018-06-22,sz.300750,66.55,33.598889,5.751321,6.496582,39.944808,58.998525,1,0
2018-06-25,sz.300750,69.19,34.931738,5.979473,6.754297,41.529395,32.213587,1,0
2018-06-26,sz.300750,74.18,37.451023,6.410714,7.241419,44.524505,28.794178,1,0
2018-06-27,sz.300750,74.09,37.405585,6.402936,7.232633,44.470485,20.317669,1,0
2018-06-28,sz.300750,68.21,34.436968,5.89478,6.65863,40.941177,24.433838,1,0
2018-06-29,sz.300750,71.96,36.330219,6.218859,7.024703,43.192011,21.035624,1,0
2018-07-02,sz.300750,70.0,35.34068,6.049474,6.833369,42.015575,14.94643,1,0
2018-07-03,sz.300750,69.29,34.982224,5.988115,6.764059,41.589417,15.609225,1,0
2018-07-04,sz.300750,65.92,33.280823,5.696876,6.435081,39.566668,12.098023,1,0
2018-07-05,sz.300750,68.81,34.739888,5.946633,6.717202,41.301311,15.80611,1,0
2018-07-06,sz.300750,70.88,35.784963,6.125524,6.919274,42.543771,22.653554,1,0
2018-07-09,sz.300750,71.55,36.123223,6.183426,6.984679,42.94592,14.301439,1,0
2018-07-10,sz.300750,72.4,36.55236,6.256884,7.067656,43.456109,16.794225,1,0
2018-07-11,sz.300750,77.06,38.90504,6.659606,7.522563,46.253146,22.610919,1,0
2018-07-12,sz.300750,84.77,42.797563,7.325913,8.27521,50.880862,19.83266,1,0
2018-07-13,sz.300750,82.7,41.752489,7.147021,8.073137,49.638401,22.188007,1,0
2018-07-16,sz.300750,83.9,42.358329,7.250726,8.190281,50.358668,13.586213,1,0
