date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,turn,tradestatus,isST
2018-01-02,sh.600276,68.67,64.734665,13.406271,14.999907,-73.819277,0.333506,1,0
2018-01-03,sh.600276,68.83,64.885496,13.437507,15.034857,-73.991275,0.442297,1,0
2018-01-04,sh.600276,70.57,66.52578,13.777203,15.414933,-75.861751,0.569892,1,0
2018-01-05,sh.600276,70.32,66.290107,13.728396,15.360325,-75.593004,0.475491,1,0
2018-01-08,sh.600276,71.26,67.176238,13.91191,15.565653,-76.603491,0.34779,1,0
2018-01-09,sh.600276,74.7,70.419098,14.583493,16.317068,-80.301442,0.774016,1,0
2018-01-10,sh.600276,74.9,70.607637,14.622538,16.360755,-80.516439,0.515907,1,0
2018-01-11,sh.600276,74.27,70.013741,14.499545,16.223141,-79.839198,0.307092,1,0
2018-01-12,sh.600276,74.61,70.334256,14.565922,16.297409,-80.204693,0.256251,1,0
2018-01-15,sh.600276,74.49,70.221133,14.542495,16.271197,-80.075695,0.501152,1,0
2018-01-16,sh.600276,75.1,70.796175,14.661584,16.404442,-80.731436,0.612419,1,0
2018-01-17,sh.600276,73.54,69.325576,14.357029,16.063684,-79.054458,0.409321,1,0
2018-01-18,sh.600276,72.8,69.012068,14.292102,15.99104,-78.696954,0.35423,1,0
2018-01-19,sh.600276,74.36,70.490898,14.598362,16.333705,-80.383317,0.41524,1,0
2018-01-22,sh.600276,76.39,72.415273,14.996892,16.779609,-82.577752,0.453451,1,0
2018-01-23,sh.600276,76.69,72.699663,15.055788,16.845506,-82.902052,0.523054,1,0
2018-01-24,sh.600276,78.07,74.007859,15.326709,17.148633,-84.393835,0.494337,1,0
2018-01-25,sh.600276,76.06,72.102443,14.932106,16.707122,-82.221021,0.549561,1,0
2018-01-26,sh.600276,77.15,73.135728,15.146095,16.946549,-83.399313,0.374259,1,0
2018-01-29,sh.600276,73.24,69.429173,14.378483,16.087689,-79.172595,0.623243,1,0
2018-01-30,sh.600276,74.1,70.244426,14.547319,16.276594,-80.102257,0.30715,1,0
2018-01-31,sh.600276,75.69,71.751695,14.859468,16.625849,-81.82105,0.30591,1,0
2018-02-01,sh.600276,74.23,70.367662,14.57284,16.30515,-80.242787,0.344236,1,0
2018-02-02,sh.600276,74.28,70.41506,14.582656,16.316133,-80.296837,0.282966,1,0
2018-02-05,sh.600276,73.37,69.552409,14.404005,16.116245,-79.313125,0.441329,1,0
2018-02-06,sh.600276,69.01,65.419269,13.548049,15.15854,-74.599956,0.857688,1,0
2018-02-07,sh.600276,67.69,64.167951,13.288907,14.868592,-73.173033,0.545879,1,0
2018-02-08,sh.600276,69.11,65.514066,13.567681,15.180505,-74.708056,0.381476,1,0
2018-02-09,sh.600276,67.56,64.044715,13.263385,14.840037,-73.032503,0.592999,1,0
2018-02-12,sh.600276,70.97,67.277286,13.932837,15.589068,-76.71872,0.444541,1,0
2018-02-13,sh.600276,71.23,67.523758,13.98388,15.646178,-76.999781,0.323155,1,0
2018-02-14,sh.600276,71.93,68.187335,14.121304,15.799938,-77.756482,0.198073,1,0
2018-02-22,sh.600276,72.47,68.699238,14.227317,15.918553,-78.340223,0.517137,1,0
2018-02-23,sh.600276,73.28,69.467092,14.386336,16.096476,-79.215835,0.343002,1,0
2018-02-26,sh.600276,74.76,70.870085,14.67689,16.421568,-80.815718,0.350979,1,0
2018-02-27,sh.600276,73.67,69.8368,14.462901,16.182142,-79.637426,0.228967,1,0
2018-02-28,sh.600276,72.48,68.708718,14.22928,15.92075,-78.351033,0.234181,1,0
2018-03-01,sh.600276,74.19,70.329743,14.564987,16.296364,-80.199547,0.261175,1,0
2018-03-02,sh.600276,73.77,69.931596,14.482533,16.204108,-79.745526,0.183082,1,0
2018-03-05,sh.600276,74.47,70.595174,14.619957,16.357868,-80.502228,0.194705,1,0
2018-03-06,sh.600276,76.19,72.225679,14.957628,16.735678,-82.361551,0.34959,1,0
2018-03-07,sh.600276,75.4,71.476784,14.802535,16.562149,-81.507559,0.211495,1,0
2018-03-08,sh.600276,78.26,74.187973,15.36401,17.190368,-84.599226,0.509974,1,0
2018-03-09,sh.600276,79.39,75.259176,15.585852,17.438581,-85.820758,0.348384,1,0
2018-03-12,sh.600276,79.97,75.808998,15.699718,17.565982,-86.447739,0.313627,1,0
