date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,turn,tradestatus,isST
2018-01-02,sh.601991,4.19,22.937571,1.337403,0.895662,37.662888,0.120773,1,0
2018-01-03,sh.601991,4.26,23.320777,1.359746,0.910625,38.292101,0.266946,1,0
2018-01-04,sh.601991,4.24,23.211289,1.353362,0.90635,38.112326,0.258821,1,0
2018-01-05,sh.601991,4.24,23.211289,1.353362,0.90635,38.112326,0.185864,1,0
2018-01-08,sh.601991,4.29,23.485007,1.369322,0.917038,38.561763,0.326381,1,0
2018-01-09,sh.601991,4.25,23.266033,1.356554,0.908488,38.202213,0.203851,1,0
2018-01-10,sh.601991,4.22,23.101802,1.346978,0.902075,37.93255,0.1269,1,0
2018-01-11,sh.601991,4.26,23.320777,1.359746,0.910625,38.292101,0.155424,1,0
2018-01-12,sh.601991,4.27,23.37552,1.362938,0.912763,38.381988,0.110652,1,0
2018-01-15,sh.601991,4.11,22.499622,1.311868,0.878561,36.943787,0.209484,1,0
2018-01-16,sh.601991,4.11,22.499622,1.311868,0.878561,36.943787,0.202709,1,0
2018-01-17,sh.601991,4.11,22.499622,1.311868,0.878561,36.943787,0.149614,1,0
2018-01-18,sh.601991,4.09,22.390135,1.305484,0.874286,36.764012,0.278367,1,0
2018-01-19,sh.601991,4.13,22.60911,1.318251,0.882836,37.123562,0.265281,1,0
2018-01-22,sh.601991,4.18,22.882828,1.334211,0.893524,37.573,0.24958,1,0
2018-01-23,sh.601991,4.19,22.937571,1.337403,0.895662,37.662888,0.175101,1,0
2018-01-24,sh.601991,4.21,23.047058,1.343787,0.899937,37.842663,0.170969,1,0
2018-01-25,sh.601991,4.22,23.101802,1.346978,0.902075,37.93255,0.197418,1,0
2018-01-26,sh.601991,4.22,23.101802,1.346978,0.902075,37.93255,0.149827,1,0
2018-01-29,sh.601991,4.23,23.156546,1.35017,0.904212,38.022438,0.265977,1,0
2018-01-30,sh.601991,4.2,22.992315,1.340595,0.897799,37.752775,0.109431,1,0
2018-01-31,sh.601991,4.1,22.444879,1.308676,0.876423,36.8539,0.155889,1,0
2018-02-01,sh.601991,3.97,21.733212,1.267181,0.848634,35.685361,0.244481,1,0
2018-02-02,sh.601991,4.0,21.897443,1.276757,0.855047,35.955024,0.183593,1,0
2018-02-05,sh.601991,4.0,21.897443,1.276757,0.855047,35.955024,0.202397,1,0
2018-02-06,sh.601991,3.85,21.076289,1.228878,0.822983,34.606711,0.20465,1,0
2018-02-07,sh.601991,3.81,20.857314,1.216111,0.814432,34.24716,0.140921,1,0
2018-02-08,sh.601991,3.87,21.185776,1.235262,0.827258,34.786486,0.127047,1,0
2018-02-09,sh.601991,3.74,20.474109,1.193768,0.799469,33.617948,0.183566,1,0
2018-02-12,sh.601991,3.75,20.528853,1.19696,0.801607,33.707835,0.226632,1,0
2018-02-13,sh.601991,3.72,20.364622,1.187384,0.795194,33.438172,0.114307,1,0
2018-02-14,sh.601991,3.7,20.255135,1.181,0.790919,33.258397,0.066682,1,0
2018-02-22,sh.601991,3.75,20.528853,1.19696,0.801607,33.707835,0.096809,1,0
2018-02-23,sh.601991,3.77,20.63834,1.203343,0.805882,33.88761,0.082711,1,0
2018-02-26,sh.601991,3.81,20.857314,1.216111,0.814432,34.24716,0.111916,1,0
2018-02-27,sh.601991,3.84,21.021545,1.225687,0.820845,34.516823,0.142559,1,0
2018-02-28,sh.601991,3.81,20.857314,1.216111,0.814432,34.24716,0.065027,1,0
2018-03-01,sh.601991,3.83,20.966801,1.222495,0.818708,34.426936,0.071405,1,0
2018-03-02,sh.601991,3.85,21.076289,1.228878,0.822983,34.606711,0.132109,1,0
2018-03-05,sh.601991,3.85,21.076289,1.228878,0.822983,34.606711,0.091457,1,0
2018-03-06,sh.601991,3.91,21.40475,1.24803,0.835809,35.146036,0.144349,1,0
2018-03-07,sh.601991,3.96,21.678468,1.263989,0.846497,35.595474,0.214369,1,0
2018-03-08,sh.601991,4.03,22.061674,1.286332,0.86146,36.224687,0.197889,1,0
2018-03-09,sh.601991,3.99,21.842699,1.273565,0.85291,35.865137,0.169188,1,0
2018-03-12,sh.601991,3.97,21.733212,1.267181,0.848634,35.685361,0.151675,1,0
2018-03-13,sh.601991,3.93,21.514237,1.254414,0.840084,35.325811,0.122854,1,0
2018-03-14,sh.601991,3.9,21.350007,1.244838,0.833671,35.056149,0.097781,1,0
2018-03-15,sh.601991,3.93,21.514237,1.254414,0.840084,35.325811,0.103652,1,0
2018-03-16,sh.601991,3.89,21.295263,1.241646,0.831533,34.966261,0.083351,1,0
2018-03-19,sh.601991,3.9,21.350007,1.244838,0.833671,35.056149,0.070275,1,0
2018-03-20,sh.601991,3.89,25.767006,1.502376,1.006145,42.308745,0.093118,1,0
2018-03-21,sh.601991,3.9,25.833245,1.506239,1.008732,42.417508,0.104498,1,0
2018-03-22,sh.601991,3.82,25.303332,1.475341,0.98804,41.547405,0.102709,1,0
2018-03-23,sh.601991,3.66,24.243507,1.413547,0.946656,39.807199,0.22974,1,0
2018-03-26,sh.601991,3.64,24.111029,1.405823,0.941483,39.589674,0.105369,1,0
2018-03-27,sh.601991,3.69,28.087283,1.637663,1.096747,46.118578,0.127379,1,0
2018-03-28,sh.601991,3.68,28.011165,1.633225,1.093775,45.993596,0.115596,1,0
2018-03-29,sh.601991,3.7,28.1634,1.642101,1.099719,46.243561,0.105503,1,0
2018-03-30,sh.601991,3.68,39.785195,1.641927,1.054126,-220.893225,0.122323,1,0
2018-04-02,sh.601991,3.64,39.352747,1.62408,1.042668,-218.492212,0.180833,1,0
2018-04-03,sh.601991,3.55,38.37974,1.583924,1.016888,-213.089932,0.222146,1,0
2018-04-04,sh.601991,3.52,38.055404,1.570539,1.008294,-211.289172,0.111544,1,0
2018-04-09,sh.601991,3.53,38.163516,1.575001,1.011159,-211.889425,0.126984,1,0
2018-04-10,sh.601991,3.57,38.595964,1.592848,1.022617,-214.290438,0.106964,1,0
2018-04-11,sh.601991,3.57,38.595964,1.592848,1.022617,-214.290438,0.102133,1,0
2018-04-12,sh.601991,3.54,38.271628,1.579462,1.014023,-212.489678,0.114729,1,0
2018-04-13,sh.601991,3.52,38.055404,1.570539,1.008294,-211.289172,0.146679,1,0
2018-04-16,sh.601991,3.46,37.406732,1.543768,0.991107,-207.687652,0.153692,1,0
2018-04-17,sh.601991,3.43,37.082396,1.530383,0.982514,-205.886892,0.138378,1,0
2018-04-18,sh.601991,3.44,37.190508,1.534845,0.985378,-206.487145,0.107351,1,0
2018-04-19,sh.601991,3.44,37.190508,1.534845,0.985378,-206.487145,0.087232,1,0
2018-04-20,sh.601991,3.36,36.325613,1.499151,0.962463,-201.685118,0.146532,1,0
2018-04-23,sh.601991,3.35,36.217501,1.494689,0.959598,-201.084865,0.109584,1,0
2018-04-24,sh.601991,3.39,36.649949,1.512536,0.971056,-203.485878,0.121959,1,0
2018-04-25,sh.601991,3.37,38.444729,1.12664,0.935235,3.491507,0.064471,1,0
2018-04-26,sh.601991,3.32,37.874332,1.109925,0.921359,3.439705,0.091403,1,0
2018-04-27,sh.601991,3.34,38.102491,1.116611,0.92691,3.460426,0.089855,1,0
2018-05-02,sh.601991,3.36,38.330649,1.123297,0.93246,3.481147,0.126261,1,0
2018-05-03,sh.601991,3.37,38.444729,1.12664,0.935235,3.491507,0.106698,1,0
2018-05-04,sh.601991,3.35,38.21657,1.119954,0.929685,3.470786,0.11773,1,0
2018-05-07,sh.601991,3.4,38.786966,1.13667,0.943561,3.522589,0.146322,1,0
2018-05-08,sh.601991,3.42,39.015125,1.143356,0.949111,3.54331,0.095092,1,0
2018-05-09,sh.601991,3.4,38.786966,1.13667,0.943561,3.522589,0.076061,1,0
2018-05-10,sh.601991,3.4,38.786966,1.13667,0.943561,3.522589,0.111695,1,0
2018-05-11,sh.601991,3.38,38.558808,1.129984,0.93801,3.501868,0.063552,1,0
2018-05-14,sh.601991,3.36,38.330649,1.123297,0.93246,3.481147,0.060845,1,0
2018-05-15,sh.601991,3.4,38.786966,1.13667,0.943561,3.522589,0.10271,1,0
2018-05-16,sh.601991,3.38,38.558808,1.129984,0.93801,3.501868,0.115688,1,0
2018-05-17,sh.601991,3.38,38.558808,1.129984,0.93801,3.501868,0.080759,1,0
2018-05-18,sh.601991,3.41,38.901046,1.140013,0.946336,3.53295,0.097324,1,0
2018-05-21,sh.601991,3.47,39.585522,1.160072,0.962987,3.595113,0.12887,1,0
2018-05-22,sh.601991,3.44,39.243284,1.150042,0.954661,3.564031,0.069756,1,0
2018-05-23,sh.601991,3.53,40.269998,1.180131,0.979638,3.657276,0.4748,1,0
2018-05-24,sh.601991,3.49,39.81368,1.166758,0.968537,3.615834,0.195746,1,0
2018-05-25,sh.601991,3.46,39.471442,1.156729,0.960212,3.584752,0.114496,1,0
2018-05-28,sh.601991,3.36,38.330649,1.123297,0.93246,3.481147,0.153556,1,0
2018-05-29,sh.601991,3.34,38.102491,1.116611,0.92691,3.460426,0.099693,1,0
2018-05-30,sh.601991,3.25,37.075777,1.086523,0.901933,3.367181,0.151574,1,0
2018-05-31,sh.601991,3.28,37.418015,1.096552,0.910259,3.398262,0.100209,1,0
2018-06-01,sh.601991,3.3,37.646173,1.103238,0.915809,3.418984,0.087693,1,0
2018-06-04,sh.601991,3.3,37.646173,1.103238,0.915809,3.418984,0.060064,1,0
2018-06-05,sh.601991,3.31,37.760253,1.106582,0.918584,3.429344,0.047036,1,0
2018-06-06,sh.601991,3.29,37.532094,1.099895,0.913034,3.408623,0.079785,1,0
2018-06-07,sh.601991,3.3,37.646173,1.103238,0.915809,3.418984,0.058352,1,0
2018-06-08,sh.601991,3.24,36.961697,1.08318,0.899158,3.35682,0.09735,1,0
2018-06-11,sh.601991,3.19,36.391301,1.066464,0.885282,3.305017,0.079926,1,0
2018-06-12,sh.601991,3.2,36.50538,1.069807,0.888057,3.315378,0.059502,1,0
2018-06-13,sh.601991,3.19,36.391301,1.066464,0.885282,3.305017,0.06136,1,0
2018-06-14,sh.601991,3.2,36.50538,1.069807,0.888057,3.315378,0.053023,1,0
2018-06-15,sh.601991,3.2,36.50538,1.069807,0.888057,3.315378,0.069337,1,0
2018-06-19,sh.601991,3.01,34.337873,1.006287,0.835329,3.118527,0.187767,1,0
2018-06-20,sh.601991,3.08,35.136428,1.029689,0.854755,3.191051,0.117222,1,0
2018-06-21,sh.601991,3.01,34.337873,1.006287,0.835329,3.118527,0.075386,1,0
2018-06-22,sh.601991,3.03,34.566032,1.012973,0.840879,3.139249,0.087337,1,0
2018-06-25,sh.601991,3.01,34.337873,1.006287,0.835329,3.118527,0.063965,1,0
2018-06-26,sh.601991,3.01,34.337873,1.006287,0.835329,3.118527,0.101381,1,0
2018-06-27,sh.601991,2.99,34.109715,0.999601,0.829778,3.097806,0.056954,1,0
2018-06-28,sh.601991,2.99,34.109715,0.999601,0.829778,3.097806,0.074596,1,0
2018-06-29,sh.601991,3.03,34.566032,1.012973,0.840879,3.139249,0.090189,1,0
2018-07-02,sh.601991,3.01,34.337873,1.006287,0.835329,3.118527,0.093859,1,0
2018-07-03,sh.601991,3.05,34.79419,1.01966,0.846429,3.15997,0.078697,1,0
2018-07-04,sh.601991,3.03,34.566032,1.012973,0.840879,3.139249,0.132705,1,0
2018-07-05,sh.601991,2.99,34.109715,0.999601,0.829778,3.097806,0.083711,1,0
2018-07-06,sh.601991,3.01,34.337873,1.006287,0.835329,3.118527,0.083023,1,0
2018-07-09,sh.601991,3.05,34.79419,1.01966,0.846429,3.15997,0.050323,1,0
2018-07-10,sh.601991,3.06,34.90827,1.023003,0.849205,3.17033,0.062891,1,0
2018-07-11,sh.601991,3.01,34.337873,1.006287,0.835329,3.118527,0.070423,1,0
2018-07-12,sh.601991,3.05,34.79419,1.01966,0.846429,3.15997,0.081539,1,0
2018-07-13,sh.601991,3.06,34.90827,1.023003,0.849205,3.17033,0.059829,1,0
2018-07-16,sh.601991,3.03,34.566032,1.012973,0.840879,3.139249,0.052717,1,0
2018-07-17,sh.601991,3.03,34.566032,1.012973,0.840879,3.139249,0.042185,1,0
2018-07-18,sh.601991,3.11,35.478666,1.039719,0.863081,3.222133,0.276532,1,0
2018-07-19,sh.601991,3.07,35.022349,1.026346,0.85198,3.180691,0.114086,1,0
2018-07-20,sh.601991,3.25,37.075777,1.086523,0.901933,3.367181,0.514867,1,0
2018-07-23,sh.601991,3.26,37.189856,1.089866,0.904708,3.377541,0.201189,1,0
2018-07-24,sh.601991,3.28,37.418015,1.096552,0.910259,3.398262,0.146723,1,0
2018-07-25,sh.601991,3.24,36.961697,1.08318,0.899158,3.35682,0.087515,1,0
2018-07-26,sh.601991,3.28,37.418015,1.096552,0.910259,3.398262,0.132051,1,0
2018-07-27,sh.601991,3.26,37.189856,1.089866,0.904708,3.377541,0.099918,1,0
2018-07-30,sh.601991,3.35,38.21657,1.119954,0.929685,3.470786,0.23082,1,0
2018-07-31,sh.601991,3.32,37.874332,1.109925,0.921359,3.439705,0.092602,1,0
2018-08-01,sh.601991,3.24,36.961697,1.08318,0.899158,3.35682,0.10039,1,0
2018-08-02,sh.601991,3.18,36.277222,1.063121,0.882507,3.294657,0.149028,1,0
2018-08-03,sh.601991,3.16,36.049063,1.056434,0.876956,3.273936,0.087488,1,0
2018-08-06,sh.601991,3.12,35.592746,1.043062,0.865856,3.232494,0.098037,1,0
2018-08-07,sh.601991,3.19,36.391301,1.066464,0.885282,3.305017,0.089183,1,0
2018-08-08,sh.601991,3.22,36.733539,1.076493,0.893608,3.336099,0.084022,1,0
2018-08-09,sh.601991,3.24,36.961697,1.08318,0.899158,3.35682,0.116516,1,0
2018-08-10,sh.601991,3.18,36.277222,1.063121,0.882507,3.294657,0.166446,1,0
